Start Date	Start Time	End Date	End Time	Event Type	Access	Venue	Location	Title	Description	Participants
Sunday, 20 August 2017	10:30 AM	Sunday, 20 August 2017	11:45 AM	Panel		Biltmore	Grand Ballroom, Biltmore 17th Floor	SMALL PRESS in the WEIRD 		Mike Davis, Dragana Drobnjak, Cody Goodfellow (Moderator), Derrick Hussey, Dwayne Olson
Sunday, 20 August 2017	10:30 AM	Sunday, 20 August 2017	11:45 AM	Panel		Biltmore	L’Apogee, Biltmore 17th Floor	AUTHOR READINGS		TBA
Sunday 20 August 2017	11:00 AM	Sunday 20 August 2017	1:00 PM	Film Screening	Public	Black Box	95 Empire Street	NecronomiCon Short Film Program One		
Sunday, 20 August 2017	11:30 AM	Sunday, 20 August 2017	12:45 AM	Panel		Omni	Omni 1	ARMITAGE SYMPOSIUM		
Sunday, 20 August 2017	12:00 PM	Sunday, 20 August 2017	1:30 PM	Other		N/A	N/A	Lunch		N/A
Sunday, 20 August 2017	12:00 PM	Sunday, 20 August 2017	1:30 PM	Podcast		Biltmore	L’Apogee, Biltmore 17th Floor	The Lovecraft eZine LIVE! 		
Sunday, 20 August 2017	1:30 PM	Sunday, 20 August 2017	2:45 PM	Panel		Omni	Omni 1	ACADEMIC TALKS		Justin Woodman PhD, Leanne Elder PhD
Sunday, 20 August 2017	1:30 PM	Sunday, 20 August 2017	2:45 PM	Panel		Omni	Omni 2	WILLIAM HOPE HODGSON: AN APPRECIATION		Michael Cisco, Sam Gafford, Nick Gucker, S.T. Joshi, The joey Zone (Moderator)
Sunday, 20 August 2017	1:30 PM	Sunday, 20 August 2017	2:45 PM	Panel		Biltmore	Garden Room, Biltmore 2nd Floor	FAITHFUL FRIGHTENERS		Tom Breen, Matt Cardin (Moderator), Bracken MacLeod, Richard Stanley, Douglas Wynne
Sunday, 20 August 2017	1:30 PM	Sunday, 20 August 2017	2:45 PM	Panel		Biltmore	Grand Ballroom, Biltmore 17th Floor	MARY SHELLEY and FRANKENSTEIN: The Roots of Cosmic Horror		Gwendolyn Kiste, Leslie Klinger, Anya Martin (Moderator), Holly Schwadron
Sunday, 20 August 2017	1:30 PM	Sunday, 20 August 2017	2:45 PM	Panel		Biltmore	L’Apogee, Biltmore 17th Floor	AUTHOR READINGS		TBA
Sunday 20 August 2017	1:30 PM	Sunday 20 August 2017	3:30 PM	Film Screening	Public	Black Box	95 Empire Street	HP Lovecraft Film Festival Short Film Program One (HPLFF1)		
Sunday, 20 August 2017	3:00 PM	Sunday, 20 August 2017	4:15 PM	Panel		Omni	Omni 2	THE WEIRD, WEIRD WEST		Mark Finn, Cody Goodfellow (Moderator), James A. Moore, Will Murray
Sunday, 20 August 2017	3:00 PM	Sunday, 20 August 2017	4:15 PM	Panel		Biltmore	Garden Room, Biltmore 2nd Floor	CONTEMPORARY WEIRD ART		Sara Bardi, Michael Bukowski, Jeanne D’Angelo, Justine Jones, Lee Joyner, Skinner, Stephen Wilson
Sunday, 20 August 2017	3:00 PM	Sunday, 20 August 2017	4:15 PM	Panel		Biltmore	Grand Ballroom, Biltmore 17th Floor	THE BLEAK OBLIQUE: Aickman’s Influence on Contemporary Horror		Michael Cisco, Paul Di Filippo, Jack Haringa, Simon Strantzas (Moderator), Steve Rasnic Tem
Sunday, 20 August 2017	3:00 PM	Sunday, 20 August 2017	4:15 PM	Panel		Biltmore	L’Apogee, Biltmore 17th Floor	AUTHOR READINGS		TBA
Sunday 20 August 2017	4:00 PM	Sunday 20 August 2017	6:00 PM	Film Screening	Public	Black Box	95 Empire Street	HP Lovecraft Film Festival Short Film Program Two (HPLFF2)		
Sunday, 20 August 2017	4:30 PM	Sunday, 20 August 2017	5:45 PM	Panel		Biltmore	Garden Room, Biltmore 2nd Floor	THE FUTURE OF WEIRD FICTION and NECRONOMICON-PVD		s.j. bagley (moderator), Sam Cowan, Ellen Datlow, Ruthanna Emrys, Michael Kelly
Sunday 20 August 2017	6:30 PM	Sunday 20 August 2017	7:30 PM	Film Screening	Public	Black Box	95 Empire Street	Quiet & Bold: Consultants Paraordinary LIVE! (see extended program)		
Sunday 20 August 2017	9:00 PM	Sunday 20 August 2017	10:30 PM	Film Screening	Public	Columbus Theatre	270 Broadway	The Dunwich Horror Picture Show		
Sunday, 20 August 2017	9:00 PM	Sunday, 20 August 2017	11:00 PM	Film Screenings	Public	Columbus Theater	270 Broadway	The Dunwich Horror Picture Show		
